,disease_id,v_count,p_count,k_count
429,OMIM:125540,2,0,0
430,OMIM:125595,7,4,1
431,OMIM:125600,2,0,0
432,OMIM:125630,4,3,0
433,OMIM:125635,2,1,1
434,OMIM:125640,6,2,1
435,OMIM:125700,8,1,2
436,OMIM:125800,13,6,2
437,OMIM:125850,2,1,0
438,OMIM:125851,2,0,0
439,OMIM:125852,3,2,2
440,OMIM:125853,4,1,3
441,OMIM:125900,3,0,0
442,OMIM:126050,5,0,0
443,OMIM:126070,5,4,0
444,OMIM:126180,2,0,0
445,OMIM:126190,13,0,1
446,OMIM:126200,10,2,1
447,OMIM:126250,4,0,0
448,OMIM:126300,2,1,0
449,OMIM:126320,7,2,1
450,OMIM:126500,2,0,0
451,OMIM:126550,11,1,3
452,OMIM:126600,3,2,0
453,OMIM:126700,2,2,0
454,OMIM:126800,8,0,0
455,OMIM:126840,3,2,0
456,OMIM:126850,2,2,0
457,OMIM:126900,5,1,0
458,OMIM:126950,4,0,0
459,OMIM:127000,19,6,5
460,OMIM:127100,5,0,0
461,OMIM:127200,11,3,1
462,OMIM:127300,25,0,2
463,OMIM:127350,7,2,0
464,OMIM:127400,3,0,0
465,OMIM:127500,3,0,0
466,OMIM:127550,22,12,4
467,OMIM:127600,3,3,1
468,OMIM:127700,2,1,0
469,OMIM:127750,7,1,0
470,OMIM:127800,1,0,1
471,OMIM:127820,2,0,2
472,OMIM:128000,2,0,0
473,OMIM:128100,27,3,4
474,OMIM:128101,14,0,1
475,OMIM:128200,6,0,0
476,OMIM:128230,25,0,2
477,OMIM:128235,19,1,3
478,OMIM:128290,2,0,0
479,OMIM:128300,4,1,2
480,OMIM:128500,2,0,0
481,OMIM:128600,2,0,0
482,OMIM:128700,2,0,0
483,OMIM:128710,2,0,0
484,OMIM:128800,2,0,0
485,OMIM:128980,8,0,0
486,OMIM:129000,2,0,0
487,OMIM:129150,2,1,0
488,OMIM:129200,13,4,3
489,OMIM:129400,32,5,2
490,OMIM:129490,13,2,0
491,OMIM:129500,21,9,1
492,OMIM:129550,7,0,1
493,OMIM:129600,5,1,0
494,OMIM:129750,2,1,0
495,OMIM:129810,8,0,0
496,OMIM:129830,6,1,0
497,OMIM:129840,4,2,2
498,OMIM:129850,8,3,1
499,OMIM:129900,57,11,9
500,OMIM:130000,30,5,6
501,OMIM:130010,14,4,5
502,OMIM:130020,8,1,3
503,OMIM:130050,47,7,10
504,OMIM:130060,18,2,2
505,OMIM:130070,52,2,3
506,OMIM:130080,15,7,6
507,OMIM:130100,1,1,0
508,OMIM:130200,2,0,0
509,OMIM:130300,2,0,0
510,OMIM:130600,3,3,0
511,OMIM:130650,28,4,8
512,OMIM:130700,2,0,1
513,OMIM:130710,3,0,0
514,OMIM:130720,41,0,3
515,OMIM:130900,4,0,0
516,OMIM:130950,14,0,1
517,OMIM:131100,17,9,6
518,OMIM:131200,4,2,0
519,OMIM:131300,25,4,6
520,OMIM:131400,7,4,1
521,OMIM:131430,2,3,2
522,OMIM:131440,4,2,1
523,OMIM:131705,6,2,2
524,OMIM:131750,5,2,2
525,OMIM:131760,12,4,4
526,OMIM:131800,5,1,1
527,OMIM:131850,7,0,1
528,OMIM:131880,2,1,1
529,OMIM:131900,5,4,4
530,OMIM:131950,4,1,0
531,OMIM:131960,12,3,2
532,OMIM:132000,6,2,2
533,OMIM:132090,3,0,0
534,OMIM:132100,2,0,0
535,OMIM:132300,4,0,0
536,OMIM:132400,22,0,2
537,OMIM:132450,12,3,2
538,OMIM:132500,1,1,0
539,OMIM:132600,1,0,1
540,OMIM:132700,3,1,0
541,OMIM:132800,5,1,1
542,OMIM:132900,17,3,5
543,OMIM:132990,2,1,0
544,OMIM:133000,1,1,0
545,OMIM:133020,12,4,3
546,OMIM:133100,12,6,4
547,OMIM:133180,8,6,1
548,OMIM:133190,22,3,3
549,OMIM:133200,6,2,0
550,OMIM:133239,2,0,0
551,OMIM:133240,3,0,1
552,OMIM:133500,2,0,0
553,OMIM:133540,73,20,9
554,OMIM:133600,3,0,0
555,OMIM:133690,4,0,0
556,OMIM:133700,16,0,1
557,OMIM:133701,17,0,1
558,OMIM:133705,12,0,0
559,OMIM:133750,5,1,0
560,OMIM:133780,15,7,4
561,OMIM:133900,4,0,0
562,OMIM:134200,2,0,0
563,OMIM:134300,3,0,0
564,OMIM:134400,3,2,3
565,OMIM:134430,2,3,0
566,OMIM:134500,3,2,0
567,OMIM:134510,2,1,1
568,OMIM:134520,3,4,1
569,OMIM:134540,1,0,2
570,OMIM:134600,11,7,3
571,OMIM:134610,11,6,1
572,OMIM:134750,4,1,0
573,OMIM:134780,45,3,7
574,OMIM:134900,2,0,2
575,OMIM:135100,21,4,6
576,OMIM:135150,10,2,8
577,OMIM:135290,5,1,2
578,OMIM:135300,3,1,1
579,OMIM:135400,10,2,1
580,OMIM:135500,47,8,10
581,OMIM:135550,3,0,0
582,OMIM:135580,5,2,3
583,OMIM:135700,11,0,1
584,OMIM:135750,12,0,0
585,OMIM:135800,2,0,1
586,OMIM:135900,99,13,10
587,OMIM:135950,3,0,0
588,OMIM:136000,4,1,0
589,OMIM:136120,5,3,1
590,OMIM:136140,60,8,9
591,OMIM:136300,17,7,4
592,OMIM:136400,3,0,0
593,OMIM:136480,6,0,0
594,OMIM:136500,5,1,0
595,OMIM:136520,4,1,0
596,OMIM:136550,6,5,0
597,OMIM:136570,7,1,1
598,OMIM:136580,4,1,0
599,OMIM:136600,5,0,0
600,OMIM:136630,6,3,1
601,OMIM:136680,10,3,1
602,OMIM:136760,33,3,2
603,OMIM:136800,5,1,1
604,OMIM:136880,3,1,1
605,OMIM:136900,5,2,1
606,OMIM:137040,2,0,0
607,OMIM:137050,3,2,1
608,OMIM:137100,6,3,3
609,OMIM:137200,17,2,0
610,OMIM:137210,3,0,0
611,OMIM:137215,6,4,1
612,OMIM:137245,2,1,0
613,OMIM:137270,5,4,0
614,OMIM:137280,4,1,0
615,OMIM:137360,3,0,0
616,OMIM:137370,2,0,0
617,OMIM:137440,28,6,4
618,OMIM:137500,2,1,0
619,OMIM:137550,17,2,1
620,OMIM:137560,4,3,0
621,OMIM:137575,4,0,0
622,OMIM:137580,9,1,0
623,OMIM:137600,5,2,0
624,OMIM:137700,2,1,1
625,OMIM:137750,4,2,0
626,OMIM:137760,2,1,1
627,OMIM:137763,0,0,1
628,OMIM:137800,4,2,3
629,OMIM:137900,3,1,0
630,OMIM:137920,28,10,10
631,OMIM:137940,25,5,7
632,OMIM:137950,10,8,2
633,OMIM:138000,3,0,0
634,OMIM:138070,2,0,2
635,OMIM:138500,3,0,1
636,OMIM:138770,15,2,0
637,OMIM:138790,6,1,1
638,OMIM:138800,2,0,1
639,OMIM:138930,6,0,0
640,OMIM:139000,3,1,0
641,OMIM:139090,13,6,2
642,OMIM:139210,64,8,11
643,OMIM:139300,4,0,0
644,OMIM:139393,2,0,0
645,OMIM:139600,4,0,0
646,OMIM:139630,1,0,0
647,OMIM:139650,1,1,0
648,OMIM:139750,8,1,0
649,OMIM:140000,25,2,0
650,OMIM:140300,2,1,0
651,OMIM:140350,5,4,1
652,OMIM:140400,7,0,3
653,OMIM:140450,6,0,0
654,OMIM:140500,3,0,0
655,OMIM:140600,3,0,1
656,OMIM:140700,2,2,0
657,OMIM:140850,6,0,0
658,OMIM:140900,2,0,0
659,OMIM:141000,5,3,0
660,OMIM:141200,2,1,1
661,OMIM:141300,18,2,0
662,OMIM:141350,4,0,1
663,OMIM:141400,14,1,1
664,OMIM:141405,3,0,0
665,OMIM:141500,20,5,3
666,OMIM:141749,1,1,0
667,OMIM:142000,2,1,0
668,OMIM:142309,3,1,0
669,OMIM:142330,3,0,1
670,OMIM:142340,2,0,0
671,OMIM:142350,2,0,0
672,OMIM:142400,3,0,0
673,OMIM:142623,6,1,1
674,OMIM:142625,15,2,0
675,OMIM:142630,2,0,1
676,OMIM:142669,10,0,1
677,OMIM:142680,19,13,3
678,OMIM:142690,3,2,0
679,OMIM:142700,3,0,0
680,OMIM:142900,24,0,2
681,OMIM:142945,20,2,2
682,OMIM:142946,9,0,0
683,OMIM:143000,4,2,0
684,OMIM:143050,2,0,0
685,OMIM:143095,74,2,7
686,OMIM:143100,13,3,4
687,OMIM:143200,8,7,2
688,OMIM:143400,15,3,1
689,OMIM:143465,3,0,0
690,OMIM:143470,2,0,0
691,OMIM:143500,2,4,0
692,OMIM:143850,4,2,1
693,OMIM:143860,6,2,0
694,OMIM:143870,2,0,1
695,OMIM:143880,14,2,4
696,OMIM:143890,6,1,1
697,OMIM:144010,5,2,1
698,OMIM:144050,2,1,0
699,OMIM:144100,2,1,0
700,OMIM:144110,2,0,0
701,OMIM:144150,2,2,0
702,OMIM:144200,5,3,1
703,OMIM:144250,7,2,3
704,OMIM:144300,8,4,2
705,OMIM:144600,4,3,3
706,OMIM:144650,5,2,2
707,OMIM:144700,2,0,0
708,OMIM:144750,13,2,1
709,OMIM:144755,19,3,2
710,OMIM:144800,6,3,5
711,OMIM:145000,2,1,0
712,OMIM:145001,10,5,8
713,OMIM:145100,1,1,0
714,OMIM:145200,1,1,0
715,OMIM:145250,5,5,0
716,OMIM:145260,5,3,0
717,OMIM:145290,5,1,0
718,OMIM:145295,6,2,0
719,OMIM:145300,2,0,0
720,OMIM:145350,13,3,1
721,OMIM:145420,37,3,4
722,OMIM:145500,4,1,0
723,OMIM:145590,4,1,0
724,OMIM:145600,9,6,1
725,OMIM:145650,4,1,0
726,OMIM:145680,2,0,1
727,OMIM:145700,3,0,0
728,OMIM:145701,2,0,0
729,OMIM:145750,4,3,3
730,OMIM:145800,2,0,0
731,OMIM:145900,34,2,1
732,OMIM:145980,3,5,3
733,OMIM:145981,4,7,2
734,OMIM:146000,14,2,0
735,OMIM:146110,10,4,1
736,OMIM:146160,5,0,0
737,OMIM:146200,9,4,3
738,OMIM:146255,20,4,4
739,OMIM:146300,13,4,3
740,OMIM:146350,7,1,1
741,OMIM:146390,20,2,1
742,OMIM:146450,2,0,0
743,OMIM:146500,27,3,4
744,OMIM:146510,61,4,7
745,OMIM:146520,4,0,0
746,OMIM:146550,6,2,1
747,OMIM:146590,2,1,0
748,OMIM:146600,2,1,0
749,OMIM:146700,9,2,0
750,OMIM:146720,8,1,0
751,OMIM:146750,4,0,1
752,OMIM:146800,2,0,0
753,OMIM:146830,3,2,1
754,OMIM:146850,2,1,0
755,OMIM:147050,2,3,0
756,OMIM:147060,15,7,4
757,OMIM:147250,24,1,1
758,OMIM:147251,2,0,0
759,OMIM:147330,3,0,0
760,OMIM:147350,2,0,0
761,OMIM:147400,3,0,0
762,OMIM:147421,9,4,3
763,OMIM:147430,6,2,3
764,OMIM:147480,8,4,2
765,OMIM:147530,4,0,0
766,OMIM:147540,2,0,0
767,OMIM:147610,2,2,1
768,OMIM:147630,11,5,6
769,OMIM:147710,2,0,0
770,OMIM:147750,34,1,1
771,OMIM:147770,26,6,3
772,OMIM:147791,45,4,7
773,OMIM:147800,13,1,3
774,OMIM:147820,2,0,0
775,OMIM:147891,18,1,0
776,OMIM:147892,2,1,2
777,OMIM:147900,4,0,0
778,OMIM:147920,62,10,8
779,OMIM:147950,23,4,1
780,OMIM:148000,3,2,2
781,OMIM:148050,45,1,2
782,OMIM:148100,2,0,1
783,OMIM:148190,2,1,0
784,OMIM:148200,6,5,2
785,OMIM:148210,23,8,4
786,OMIM:148300,4,0,0
787,OMIM:148350,3,1,2
788,OMIM:148360,7,0,0
789,OMIM:148370,3,1,0
790,OMIM:148500,5,0,2
791,OMIM:148520,3,0,0
792,OMIM:148600,8,0,1
793,OMIM:148700,12,2,1
794,OMIM:148730,4,2,0
795,OMIM:148800,7,2,0
796,OMIM:148820,21,7,0
797,OMIM:148840,4,1,1
798,OMIM:149000,13,4,1
799,OMIM:149100,3,0,1
800,OMIM:149200,5,0,2
801,OMIM:149300,2,0,0
802,OMIM:149400,15,0,1
803,OMIM:149500,2,0,1
804,OMIM:149600,2,0,0
805,OMIM:149700,4,2,2
806,OMIM:149730,40,3,5
807,OMIM:150170,2,1,0
808,OMIM:150230,83,11,12
809,OMIM:150250,42,2,7
810,OMIM:150260,9,2,2
811,OMIM:150270,3,0,0
812,OMIM:150280,4,0,1
813,OMIM:150300,3,0,0
814,OMIM:150360,6,0,1
815,OMIM:150400,17,3,2
816,OMIM:150500,4,1,0
817,OMIM:150550,10,7,4
818,OMIM:150600,5,0,0
819,OMIM:150699,3,0,0
820,OMIM:150700,2,0,1
821,OMIM:150800,8,1,2
822,OMIM:150900,3,0,0
823,OMIM:151000,2,1,0
824,OMIM:151001,1,1,0
825,OMIM:151050,42,5,4
826,OMIM:151100,39,4,4
827,OMIM:151200,28,0,2
828,OMIM:151210,22,0,0
829,OMIM:151380,2,0,0
830,OMIM:151400,4,0,0
831,OMIM:151430,3,1,1
832,OMIM:151500,2,1,0
833,OMIM:151600,4,0,1
834,OMIM:151610,4,0,1
835,OMIM:151620,2,0,0
836,OMIM:151623,13,2,7
837,OMIM:151630,2,0,0
838,OMIM:151640,3,1,0
839,OMIM:151660,25,10,11
840,OMIM:151700,1,1,2
841,OMIM:151800,3,1,1
842,OMIM:151900,1,1,0
843,OMIM:152420,2,0,0
844,OMIM:152550,2,0,0
845,OMIM:152700,11,11,0
846,OMIM:152800,7,3,3
847,OMIM:152900,3,2,1
848,OMIM:152950,39,7,2
849,OMIM:153100,10,2,4
850,OMIM:153200,5,2,1
851,OMIM:153300,5,2,2
852,OMIM:153400,14,7,3
853,OMIM:153470,7,0,0
854,OMIM:153480,30,8,5
855,OMIM:153550,9,2,1
856,OMIM:153600,7,3,2
857,OMIM:153630,2,0,1
858,OMIM:153640,11,10,2
859,OMIM:153670,5,10,0
860,OMIM:153700,5,2,1
861,OMIM:153800,2,1,0
862,OMIM:153840,6,3,1
863,OMIM:153870,4,0,0
864,OMIM:153880,7,1,2
865,OMIM:153890,2,0,0
866,OMIM:154020,5,4,3
867,OMIM:154230,28,3,1
